OBJECTID,AREA,PERIMETER,EL2004P020,STATE,COUNTY,FIPS,STATE_FIPS,VOTE_DEM,VOTE_REP,VOTE_OTH,PERCENT_DE,PERCENT_RE,PERCENT_OT,SYMBOL_COD,TOTAL_VOTE
"1",7.00989775164,18.2113222074,8.0,"AK","State House District 8, Denali-University","02008","02","5758","6615","569","44.5","51.1","4.4","4","12942"
"2",16.636604761,168.79168589,37.0,"AK","State House District 37, Bristol Bay-Aleuti","02037","02","5208","3046","192","61.7","36","2.3","8","8446"
"3",12.0908920352,36.2108304464,12.0,"AK","State House District 12, Richardson-Glenn H","02012","02","3387","8108","350","28.5","68.5","3","3","11845"
"4",0.043664664508,1.30727326939,13.0,"AK","State House District 13, Greater Palmer","02013","02","4819","10702","491","30.1","66.8","3.1","3","16012"
"5",0.0255835093785,1.04082264622,14.0,"AK","State House District 14, Greater Wasilla","02014","02","4403","10717","428","28.3","68.9","2.8","3","15548"
"6",0.48042708304,4.74241903138,16.0,"AK","State House District 16, Chugiak-South Mat-","02016","02","4791","10587","472","30.2","66.7","3.1","3","15850"
"7",5.94723202211,13.4889853084,15.0,"AK","State House District 15, Rural Mat-Su","02015","02","4766","10058","576","30.9","65.3","3.8","3","15400"
"8",16.2971664081,84.7337155383,39.0,"AK","State House District 39, Bering Straits","02039","02","2365","2881","322","42.5","51.7","5.8","4","5568"
"9",73.346733239,148.703523266,40.0,"AK","State House District 40, Arctic","02040","02","2328","3217","243","40.2","55.6","4.2","4","5788"
"10",1.93101139166,64.2510282559,2.0,"AK","State House District 2, Sitka-Wrangell-Pete","02002","02","4961","5943","498","43.5","52.1","4.4","4","11402"
"11",0.838239946747,9.613977843,3.0,"AK","State House District 3, Juneau-Downtown-Dou","02003","02","6513","4790","445","55.4","40.8","3.8","9","11748"
"12",0.265496316404,5.51774127185,4.0,"AK","State House District 4, Juneau-Mendenhall V","02004","02","4768","5802","417","43.4","52.8","3.8","4","10987"
"13",104.12072872,88.6281866928,6.0,"AK","State House District 6, Interior Villages","02006","02","3728","6177","405","36.2","60","3.8","3","10310"
"14",0.00287530695,0.32082503154,17.0,"AK","State House District 17, Eagle River","02017","02","4646","10491","373","30","67.6","2.4","3","15510"
"15",0.0036746405555,0.346516598732,31.0,"AK","State House District 31, Huffman-Ocean View","02031","02","5315","9605","350","34.8","62.9","2.3","3","15270"
"16",0.0019198014245,0.224082392208,25.0,"AK","State House District 25, East Spenard","02025","02","5435","6892","451","42.5","54","3.5","4","12778"
"17",0.0338314584803,1.07997709531,18.0,"AK","State House District 18, Military","02018","02","4193","8424","270","32.5","65.4","2.1","3","12887"
"18",0.002162810004,0.225021524397,29.0,"AK","State House District 29, Campbell-Independe","02029","02","4546","7743","341","36","61.3","2.7","3","12630"
"19",0.0062060829835,0.419751187478,30.0,"AK","State House District 30, Lore-Abbott","02030","02","5181","8733","359","36.3","61.2","2.5","3","14273"
"20",0.0024144981235,0.239265902125,24.0,"AK","State House District 24, Midtown-Taku","02024","02","5226","7622","403","39.4","57.5","3.1","4","13251"
"21",0.000930561213,0.214903859459,20.0,"AK","State House District 20, Mountain View-Wond","02020","02","4465","6632","383","38.9","57.8","3.3","4","11480"
"22",0.00177272122,0.195037339435,22.0,"AK","State House District 22, University-Airport","02022","02","5426","7207","402","41.6","55.3","3.1","4","13035"
"23",0.00892417318831,0.763057373864,27.0,"AK","State House District 27, Sand Lake","02027","02","5212","8500","400","37","60.2","2.8","3","14112"
"24",0.0010701576145,0.170246132241,21.0,"AK","State House District 21, Baxter Bog","02021","02","5488","8818","365","37.4","60.1","2.5","3","14671"
"25",0.00222850985555,0.285643899601,23.0,"AK","State House District 23, Downtown-Rogers Pa","02023","02","5991","6576","418","46.1","50.7","3.2","4","12985"
"26",0.00336508200713,0.429700694977,28.0,"AK","State House District 28, Bayshore-Klatt","02028","02","5141","9073","363","35.3","62.2","2.5","3","14577"
"27",0.576333190813,6.89353433235,32.0,"AK","State House District 32, Chugach State Park","02032","02","6580","9783","447","39.1","58.2","2.7","4","16810"
"28",0.001201300964,0.187908030061,19.0,"AK","State House District 19, Muldoon","02019","02","5061","8014","383","37.6","59.6","2.8","4","13458"
"29",0.00187910556625,0.23293258032,26.0,"AK","State House District 26, Turnagain-Inlet Vi","02026","02","6476","7776","430","44.1","52.9","3","4","14682"
"30",8.72900953946,75.8855382309,36.0,"AK","State House District 36, Kodiak","02036","02","3245","5645","351","35.1","61.1","3.8","3","9241"
"31",9.75675857173,47.8784838356,38.0,"AK","State House District 38, Bethel","02038","02","2366","2459","250","46.6","48.5","4.9","5","5075"
"32",0.0403048884822,1.57021139205,33.0,"AK","State House District 33, Kenai-Soldotna","02033","02","3192","7344","402","29.2","67.1","3.7","3","10938"
"33",3.57193501274,47.7599505051,35.0,"AK","State House District 35, Homer-Seward","02035","02","5030","6007","534","43.5","51.9","4.6","4","11571"
"34",1.65510239768,8.92062040749,34.0,"AK","State House District 34, Rural Kenai","02034","02","3033","7886","434","26.7","69.5","3.8","3","11353"
"35",0.0038192229585,0.330752246065,9.0,"AK","State House District 9, City of Fairbanks","02009","02","4177","6934","375","36.4","60.3","3.3","3","11486"
"36",0.0146841144285,0.843659843601,10.0,"AK","State House District 10, Fairbanks-Fort Wai","02010","02","3670","6745","335","34.1","62.8","3.1","3","10750"
"37",0.045958222422,1.46319570735,11.0,"AK","State House District 11, North Pole","02011","02","3364","9280","381","25.8","71.2","3","2","13025"
"38",1.02921095049,8.45149986077,7.0,"AK","State House District 7, Farmers Loop-Steese","02007","02","5008","7693","520","37.9","58.2","3.9","4","13221"
"39",14.265630549,228.039887635,5.0,"AK","State House District 5, Cordova-Southeast I","02005","02","4679","5439","491","44.1","51.3","4.6","4","10609"
"40",0.900283177754,21.4212789147,1.0,"AK","State House District 1, Ketchikan","02001","02","3662","6303","452","35.2","60.5","4.3","3","10417"
"852",0.561910511697,4.16893269826,1306.0,"MN","Lake of the Woods County","27077","27","921","1428","51","38.4","59.5","2.1","4","2400"
"853",0.873816734146,36.3708560217,1307.0,"WA","","53000","53","","","","","","","",""
"854",0.00161318257814,0.181212786438,1308.0,"WA","Whatcom County","53073","53","48268","40296","1830","53.4","44.6","2","9","90394"
"854",0.682354374373,5.48151689311,1308.0,"WA","Whatcom County","53073","53","48268","40296","1830","53.4","44.6","2","9","90394"
"856",1.59255490987,6.45561663651,1310.0,"MT","Valley County","30105","30","1431","2476","111","35.6","61.6","2.8","3","4018"
"857",1.64578303546,8.4535131797,1311.0,"MT","Flathead County","30029","30","11587","26019","1072","30","67.3","2.8","3","38678"
"858",0.405024677966,2.95669614872,1312.0,"ID","Boundary County","16021","16","1268","3012","98","29","68.8","2.2","3","4378"
"859",1.63865957709,6.74200174054,1313.0,"MT","Phillips County","30071","30","456","1677","37","21","77.3","1.7","2","2170"
"860",0.298718183203,2.28798684024,1314.0,"ND","Rolette County","38079","38","2564","1392","88","63.4","34.4","2.2","8","4044"
"861",1.16176123049,5.51213486493,1315.0,"MT","Lincoln County","30053","30","2320","5889","238","27.5","69.7","2.8","3","8447"
"862",0.54138541046,3.78597759685,1316.0,"ND","Bottineau County","38009","38","1168","2468","38","31.8","67.2","1","3","3674"
"863",0.966170759635,5.39527134322,1317.0,"MT","Glacier County","30035","30","2641","1828","93","57.9","40.1","2","9","4562"
"864",0.919803338826,4.54694117714,1318.0,"MT","Hill County","30041","30","2997","3505","155","45","52.7","2.3","4","6657"
"865",1.33540939165,5.41653127703,1319.0,"MT","Blaine County","30005","30","1300","1424","44","47","51.4","1.6","4","2768"
"866",0.451847644405,3.23175932236,1320.0,"MT","Daniels County","30019","30","326","764","29","29.1","68.3","2.6","3","1119"
"867",0.356084908683,2.8849202329,1321.0,"ND","Pembina County","38067","38","1321","2466","69","34.3","64","1.8","3","3856"
"868",0.34904877968,2.98491170958,1322.0,"MN","Kittson County","27069","27","1333","1307","42","49.7","48.7","1.6","10","2682"
"869",0.330207016639,2.37293991782,1323.0,"ND","Towner County","38095","38","606","754","31","43.6","54.2","2.2","4","1391"
"870",0.478716380515,3.0618533109,1324.0,"ND","Cavalier County","38019","38","887","1522","35","36.3","62.3","1.4","3","2444"
