STATE,COUNTY,FIPS,DEM,GOP,OTH,YEAR
AL,autauga,1001,4942,11993,273,2000
AL,baldwin,1003,13997,40872,1611,2000
AL,barbour,1005,5188,5096,111,2000
AL,bibb,1007,2710,4273,118,2000
AL,blount,1009,4977,12667,329,2000
AL,bullock,1011,3395,1433,76,2000
AL,butler,1013,3606,4127,70,2000
AL,calhoun,1015,15781,22306,822,2000
AL,chambers,1017,5616,6037,181,2000
AL,cherokee,1019,3497,4154,172,2000
AL,chilton,1021,4806,10066,220,2000
AL,choctaw,1023,3707,3600,67,2000
AL,clarke,1025,4679,5988,85,2000
AL,clay,1027,2045,3719,119,2000
AL,cleburne,1029,1664,3333,95,2000
AL,coffee,1031,5220,9938,276,2000
AL,colbert,1033,10543,10518,471,2000
AL,conecuh,1035,2783,2699,69,2000
AL,coosa,1037,2104,2382,81,2000
AL,covington,1039,4440,8961,212,2000
AL,crenshaw,1041,1934,2793,68,2000
AL,cullman,1043,9758,19157,610,2000
AL,dale,1045,4906,10593,307,2000
AL,dallas,1047,10967,7360,137,2000
AL,dekalb,1049,7056,12827,402,2000
AL,elmore,1051,6652,16777,375,2000
AL,escambia,1053,4523,6975,162,2000
AL,etowah,1055,17433,21087,828,2000
AL,fayette,1057,3064,4582,162,2000
AL,franklin,1059,4793,6119,191,2000
AL,geneva,1061,2769,6588,202,2000
AL,greene,1063,3504,850,42,2000
AL,hale,1065,4652,2984,95,2000
AL,henry,1067,2782,4054,96,2000
AL,houston,1069,9412,22150,495,2000
AL,jackson,1071,9066,8475,365,2000
AL,jefferson,1073,129889,138491,5383,2000
AL,lamar,1075,2653,4470,126,2000
AL,lauderdale,1077,13875,17478,784,2000
AL,lawrence,1079,6296,5671,218,2000
AL,lee,1081,14574,22433,1257,2000
AL,limestone,1083,8992,14204,438,2000
AL,lowndes,1085,4557,1638,48,2000
AL,macon,1087,7665,1091,75,2000
AL,madison,1089,48199,62151,2968,2000
AL,marengo,1091,4841,4690,77,2000
AL,marion,1093,4600,6910,246,2000
AL,marshall,1095,10381,17084,524,2000
AL,mobile,1097,58640,78162,2943,2000
AL,monroe,1099,3741,5153,57,2000
AL,montgomery,1101,40371,38827,1130,2000
AL,morgan,1103,16060,25774,847,2000
AL,perry,1105,4020,1732,35,2000
AL,pickens,1107,4143,4306,91,2000
AL,pike,1109,4357,6058,129,2000
AL,randolph,1111,3094,4666,159,2000
AL,russell,1113,8396,6198,181,2000
AL,st. clair,1115,6485,17117,488,2000
AL,shelby,1117,13183,47651,1294,2000
AL,sumter,1119,4415,1629,44,2000
AL,talladega,1121,11264,13807,380,2000
AL,tallapoosa,1123,6183,9805,265,2000
AL,tuscaloosa,1125,24614,34003,1497,2000
AL,walker,1127,11621,13486,534,2000
AL,washington,1129,3386,4117,93,2000
AL,wilcox,1131,3444,1661,21,2000
AL,winston,1133,2692,6413,213,2000
AZ,apache,4001,13025,5947,461,2000
AZ,cochise,4003,13360,18180,1664,2000
AZ,coconino,4005,20280,17562,3041,2000
AZ,gila,4007,7700,9158,878,2000
AZ,graham,4009,3355,6007,302,2000
AZ,greenlee,4011,1216,1619,125,2000
AZ,la paz,4012,1769,2543,171,2000
AZ,maricopa,4013,386683,479967,33158,2000
AZ,mohave,4015,17470,24386,2285,2000
AZ,navajo,4017,11794,12386,967,2000
AZ,pima,4019,147688,124579,15373,2000
AZ,pinal,4021,19650,20122,1518,2000
AZ,yavapai,4025,24063,40144,3875,2000
AZ,yuma,4027,12055,15708,889,2000
AR,arkansas,5001,2877,3353,142,2000
AR,ashley,5003,4253,3876,142,2000
AR,baxter,5005,6516,9538,654,2000
AR,benton,5007,17277,34838,1531,2000
AR,boone,5009,4493,8569,573,2000
AR,bradley,5011,2122,1793,64,2000
AR,calhoun,5013,1017,1128,40,2000
AR,carroll,5015,3595,5556,439,2000
AR,chicot,5017,2820,1564,68,2000
AR,clark,5019,4661,3776,189,2000
AR,clay,5021,3527,2254,119,2000
AR,cleburne,5023,4120,5730,357,2000
AR,cleveland,5025,1414,1678,89,2000
AR,columbia,5027,4003,5018,286,2000
AR,conway,5029,3496,3545,193,2000
AR,craighead,5031,12376,12158,623,2000
AR,crawford,5033,6288,10804,533,2000
AR,crittenden,5035,7224,5857,153,2000
AR,cross,5037,3096,3033,86,2000
AR,dallas,5039,1710,1571,44,2000
AR,desha,5041,2776,1603,116,2000
AR,drew,5043,3060,2756,106,2000
AR,faulkner,5045,11950,16055,1211,2000
AR,franklin,5047,2674,3277,189,2000
AR,fulton,5049,1976,2036,96,2000
AR,garland,5051,15840,19098,997,2000
AR,grant,5053,2535,3285,193,2000
AR,greene,5055,6319,5831,334,2000
AR,hempstead,5057,3937,3257,95,2000
AR,hot spring,5059,5527,5042,412,2000
AR,howard,5061,2063,2326,70,2000
AR,independence,5063,5146,6145,303,2000
AR,izard,5065,2587,2301,144,2000
AR,jackson,5067,3651,2280,141,2000
AR,jefferson,5069,17716,8765,720,2000
AR,johnson,5071,3270,3657,234,2000
AR,lafayette,5073,1806,1538,39,2000
AR,lawrence,5075,3255,2626,159,2000
AR,lee,5077,2727,1351,43,2000
AR,lincoln,5079,1957,1526,63,2000
AR,little river,5081,2883,2283,97,2000
AR,logan,5083,3283,4487,326,2000
AR,lonoke,5085,6851,10606,486,2000
AR,madison,5087,2055,3387,186,2000
AR,marion,5089,2233,3402,380,2000
AR,miller,5091,6278,7276,191,2000
AR,mississippi,5093,7107,5199,280,2000
AR,monroe,5095,1910,1329,54,2000
