county,county,fips_code,dem_2016,gop_2016,oth_2016,2016
MI,delta,26041,6431,11112,924,2016
TX,lipscomb,48295,135,1159,28,2016
AL,walker,01127,4486,24208,549,2016
TX,reeves,48389,1659,1417,108,2016
WY,hot springs,56017,400,1939,196,2016
KS,doniphan,20043,584,2601,181,2016
NC,wake,37183,298353,193607,18980,2016
NC,pitt,37147,40967,35191,2106,2016
TX,wise,48497,3412,20655,594,2016
KY,russell,21207,1093,6863,215,2016
AR,grant,05053,1407,5160,288,2016
NE,richardson,31147,798,2684,184,2016
TN,monroe,47123,3184,13361,505,2016
NY,nassau,36059,307326,275479,16844,2016
AL,bullock,01011,3530,1139,32,2016
PA,fulton,42057,904,5676,163,2016
KS,coffey,20031,719,2990,253,2016
NE,saline,31151,1630,2849,316,2016
NE,clay,31035,470,2373,130,2016
MS,desoto,28033,19892,42155,1975,2016
LA,lincoln parish,22061,7102,10761,801,2016
OK,roger mills,40129,151,1546,61,2016
LA,lafourche parish,22057,8423,31958,1263,2016
OK,sequoyah,40135,3061,10888,488,2016
VA,prince william,51153,83093,54065,7696,2016
ME,york,23031,55828,50388,7746,2016
ME,lincoln,23015,10241,9727,1464,2016
TN,claiborne,47025,1831,8589,286,2016
MO,dekalb,29063,824,3540,226,2016
PA,delaware,42045,169169,106559,9104,2016
FL,sumter,12119,22631,52722,1296,2016
NY,monroe,36055,174063,128871,17230,2016
IN,fountain,18045,1476,5661,337,2016
OH,hancock,39063,9419,23777,2020,2016
NJ,cape may,34009,18626,28237,1512,2016
MS,harrison,28047,20679,39710,1687,2016
AR,van buren,05141,1547,5382,182,2016
TX,morris,48343,1425,3443,96,2016
MT,pondera,30073,737,1786,169,2016
TN,wayne,47181,717,5034,91,2016
TX,floyd,48153,435,1473,50,2016
SD,sully,46119,137,679,45,2016
IA,jackson,19097,3837,5821,546,2016
MS,lowndes,28087,11545,13124,470,2016
IL,putnam,17155,1143,1762,171,2016
SC,oconee,45073,7979,24096,1455,2016
NY,steuben,36101,11215,25091,2067,2016
NC,perquimans,37143,2291,4143,161,2016
MS,forrest,28035,11271,15149,864,2016
NE,cedar,31027,572,3533,255,2016
GA,hancock,13141,2695,841,36,2016
OH,logan,39091,4537,15586,884,2016
OH,guernsey,39059,4286,11164,706,2016
TX,live oak,48297,739,3450,78,2016
TN,scott,47151,934,6044,145,2016
MT,fergus,30027,1196,4235,351,2016
NM,harding,35021,156,311,60,2016
ME,waldo,23027,10442,10378,1810,2016
UT,carbon,49007,1673,5055,926,2016
KS,ellsworth,20053,515,1933,178,2016
MN,pennington,27113,2146,4000,525,2016
MN,wadena,27159,1684,4837,373,2016
IN,pulaski,18131,1327,3854,256,2016
ND,hettinger,38041,168,1032,61,2016
MS,alcorn,28003,2684,11817,280,2016
IA,osceola,19143,552,2528,117,2016
VT,essex,50009,1019,1506,181,2016
AL,calhoun,01015,13197,32803,1376,2016
GA,seminole,13253,1186,2343,48,2016
CA,trinity,06105,1876,2409,431,2016
IL,union,17181,2389,5780,345,2016
NE,douglas,31055,105207,102151,12173,2016
VA,hopewell city,51670,4722,3885,361,2016
KS,kingman,20095,594,2507,180,2016
KY,scott,21209,7713,15052,1394,2016
TX,van zandt,48467,2792,18436,461,2016
NE,washington,31177,2606,7374,604,2016
MO,scotland,29199,365,1525,78,2016
TN,clay,47027,707,2140,72,2016
WI,sauk,55111,16050,15871,1927,2016
TX,briscoe,48045,91,625,18,2016
SC,anderson,45007,21040,56109,3147,2016
TX,dickens,48125,128,755,26,2016
IA,taylor,19173,755,2108,140,2016
NC,wilkes,37193,6596,23613,635,2016
MN,lincoln,27081,860,1930,212,2016
TX,parmer,48369,848,1911,59,2016
AL,barbour,01005,4848,5431,111,2016
PA,washington,42125,34436,58941,3568,2016
VA,carroll,51035,2557,10653,377,2016
TN,crockett,47033,1302,3977,107,2016
OH,champaign,39021,4488,12314,795,2016
NY,lewis,36049,2828,6916,568,2016
MO,new madrid,29143,1933,5270,149,2016
VA,nottoway,51135,2829,3712,176,2016
MI,leelanau,26089,6774,7239,744,2016
TX,knox,48275,247,1078,33,2016
VA,gloucester,51073,5399,13087,1038,2016
NM,sierra,35051,1600,2998,531,2016
CA,san benito,06069,6751,4358,649,2016
OR,multnomah,41051,271754,63055,22953,2016
VA,falls church city,51610,5810,1323,534,2016
TX,hansford,48195,171,1730,46,2016
GA,brantley,13025,619,5561,105,2016
MN,le sueur,27079,4623,9182,1062,2016
NY,new york,36061,515481,58935,16952,2016
IN,jasper,18073,3329,9382,620,2016
KY,ohio,21183,2080,7942,376,2016
KY,grant,21081,1910,7268,373,2016
AR,cleveland,05025,723,2460,116,2016
MN,houston,27055,4145,5616,754,2016
NC,new hanover,37129,50219,54665,3853,2016
MI,baraga,26013,1156,2158,172,2016
TX,hale,48189,2090,6347,365,2016
KS,scott,20171,232,1832,95,2016
TX,hemphill,48211,181,1460,46,2016
HI,kauai,15007,16456,7574,2305,2016
WV,mcdowell,54047,1429,4614,136,2016
LA,grant parish,22043,1181,7406,232,2016
OH,sandusky,39143,9733,16045,1713,2016
TX,val verde,48465,6920,5856,700,2016
TX,lamb,48279,770,3040,95,2016
NC,chowan,37041,2965,3983,160,2016
ND,sioux,38085,758,256,163,2016
OH,morgan,39115,1711,4315,264,2016
AL,fayette,01057,1358,6705,133,2016
LA,caddo parish,22017,53448,48977,3312,2016
GA,mcintosh,13191,2298,3482,113,2016
VA,louisa,51109,6208,10507,792,2016
SD,todd,46121,1505,487,133,2016
NE,hayes,31085,30,471,9,2016
WI,sawyer,55113,2846,4625,296,2016
CA,santa barbara,06083,85147,45788,8431,2016
VA,waynesboro city,51820,3762,4798,554,2016
MS,hinds,28049,64922,24919,1695,2016
RI,kent,44003,37582,38141,3968,2016
KY,washington,21229,1420,4013,188,2016
NC,edgecombe,37065,16152,8219,282,2016
MN,clearwater,27029,1100,2925,200,2016
IL,greene,17061,1202,4139,201,2016
KY,bullitt,21029,8255,26210,1571,2016
VA,giles,51071,1949,5930,317,2016
KS,hodgeman,20083,124,845,37,2016
KS,douglas,20045,30089,14308,3834,2016
OK,mayes,40097,3423,11550,739,2016
LA,tangipahoa parish,22105,16869,33933,1579,2016
NY,chautauqua,36013,17281,29418,2682,2016
MA,dukes,25007,8338,2474,622,2016
KS,morris,20127,586,1790,192,2016
TX,el paso,48141,145509,54567,10382,2016
MT,fallon,30025,154,1276,44,2016
WI,clark,55019,4225,8645,678,2016
IA,shelby,19165,1649,4340,281,2016
GA,effingham,13103,4851,17865,679,2016
WI,buffalo,55011,2531,4049,341,2016
NE,dixon,31051,556,2041,147,2016
OR,grant,41023,732,3187,252,2016
MD,prince george's,24033,313627,29290,8174,2016
MO,warren,29219,3915,11109,742,2016
NY,livingston,36051,10478,19211,1674,2016
TX,refugio,48391,1034,1830,81,2016
LA,bienville parish,22013,3129,3756,120,2016
LA,cameron parish,22023,323,3256,113,2016
IL,edgar,17045,1778,5634,371,2016
KY,christian,21047,7188,14108,773,2016
GA,macon,13193,2705,1540,42,2016
AL,baldwin,01003,18409,72780,2901,2016
ND,williams,38105,1722,10033,774,2016
IA,jones,19105,3779,5718,514,2016
LA,saint john the baptist parish,22095,12658,7569,513,2016
NV,washoe,32031,97032,94529,17721,2016
KS,stanton,20187,132,580,30,2016
IN,rush,18139,1525,5292,397,2016
MO,cass,29037,14816,33006,2893,2016
ND,mercer,38057,616,3715,233,2016
WI,eau claire,55035,27271,23301,3508,2016
MO,grundy,29079,780,3462,171,2016
TN,henderson,47077,1796,8118,258,2016
NM,luna,35029,3195,3478,572,2016
TN,union,47173,1010,5024,170,2016
TX,angelina,48005,7538,21666,666,2016
SD,hanson,46061,424,1497,85,2016
TX,kinney,48271,457,936,31,2016
OH,coshocton,39031,3908,10381,672,2016
OK,dewey,40043,222,1964,60,2016
CA,riverside,06065,253215,240013,23972,2016
MT,wibaux,30109,55,460,18,2016
TX,medina,48325,4624,12054,509,2016
CT,litchfield,09005,39836,53376,4222,2016
KS,decatur,20039,178,1220,62,2016
GA,bartow,13015,8204,29879,1180,2016
CO,gunnison,08051,5068,3250,981,2016
MT,judith basin,30045,232,867,90,2016
IL,la salle,17099,19277,26269,2901,2016
OK,noble,40103,901,3707,262,2016
WA,adams,53001,1118,2740,223,2016
IA,kossuth,19109,2529,5637,339,2016
VA,accomack,51001,6737,8582,436,2016
IA,grundy,19075,1847,4516,403,2016
ME,cumberland,23005,102935,57697,10617,2016
NC,jackson,37099,7564,9706,734,2016
OH,muskingum,39119,10926,23588,1703,2016
IL,stephenson,17177,7531,10845,1149,2016
CO,hinsdale,08053,197,339,53,2016
OK,major,40093,310,2940,149,2016
TX,gillespie,48171,2286,10445,392,2016
CA,placer,06061,43915,55212,6030,2016
MN,todd,27153,2783,8485,676,2016
OH,delaware,39041,39584,55660,4857,2016
ID,oneida,16071,184,1531,353,2016
KY,calloway,21035,4749,10367,923,2016
FL,calhoun,12013,1236,4647,184,2016
NY,cattaraugus,36009,8717,18668,1576,2016
IN,huntington,18069,3506,11649,819,2016
OH,mahoning,39099,56188,52808,3831,2016
TX,callahan,48059,568,4858,130,2016
TN,sumner,47165,18153,50105,2822,2016
SD,roberts,46109,1539,2142,205,2016
IL,wabash,17185,1146,4039,217,2016
KS,miami,20121,3949,9839,924,2016
MN,steele,27147,6239,11198,1603,2016
VA,floyd,51063,2300,5289,383,2016
ID,canyon,16027,16683,46755,8569,2016
SC,florence,45041,26630,29498,1642,2016
MO,gasconade,29073,1519,5670,255,2016
ID,blaine,16013,6416,3340,967,2016
NE,platte,31141,2612,10864,571,2016
